type	latitude	longitude	name	color
W	52.3537962	13.3676147		#00008c
W	52.3252683	13.4280396		#00008c
W	52.3135162	13.4774780		#00008c
W	52.2984018	13.5186768		#00008c
W	52.6230601	13.4609985		#00008c
W	52.6030475	13.4335327		#00008c
W	52.5713423	13.4252930		#00008c
W	52.5262481	13.3895874		#00008c
W	52.4894704	13.4225464		#00008c
W	52.4476402	13.4390259		#00008c
W	52.4241979	13.4939575		#00008c
W	52.3806291	13.6203003		#00008c
W	52.3806291	13.6807251		#00008c
W	52.4107967	13.7741089		#00008c
W	52.4560094	13.8482666		#00008c
W	52.5011757	13.8098145		#00008c
W	52.5346024	13.7521362		#00008c
W	52.5346024	13.7164307		#00008c
W	52.5162209	13.6972046		#00008c
W	52.4944873	13.6889648		#00008c
W	52.4844529	13.6614990		#00008c
W	52.4693968	13.6257935		#00008c
W	52.7379546	13.6587524		#00008c
W	52.7030187	13.6587524		#00008c
W	52.6463964	13.6642456		#00008c
W	52.6230601	13.7466431		#00008c
W	52.6213927	13.8180542		#00008c
W	52.6163902	13.9141846		#00008c
W	52.5930378	13.9361572		#00008c
W	52.5629950	13.9553833		#00008c
W	52.5011757	13.9086914		#00008c
W	52.8077426	13.7823486		#00008c
W	52.8027614	13.8070679		#00008c
W	52.7279758	13.9004517		#00008c
W	52.6996900	13.8922119		#00008c
W	52.7828311	13.8674927		#00008c
W	52.7695392	13.8894653		#00008c
W	52.7096753	13.9361572		#00008c
W	52.7063471	13.9801025		#00008c
W	52.6946965	14.0075684		#00008c
W	52.6797125	14.0405273		#00008c
W	52.6588930	14.0734863		#00008c
W	52.6372301	14.0913391		#00008c
W	52.6263946	14.1036987		#00008c
W	52.6130549	14.1036987		#00008c

